H,β,γ,C,Φ,ru,Stability,Location
8.23,35,18.68,26.34,15,0,0,"Congress street, open cut slope, Chicago, USA "
3.66,30,16.5,11.49,0,0,0,"Brightlingsea slide, UK "
30.5,20,18.84,14.36,25,0,1,Unknown 
30.5,20,18.84,57.46,20,0,1,Unknown 
100,35,28.44,29.42,35,0,1,"Case 1: open pit iron ore mine, India "
100,35,28.44,39.23,38,0,1,"Case 2: open pit iron ore mine, India "
40,30,20.6,16.28,26.5,0,0,"Open pit chromite mine, Orissa, India "
50,20,14.8,0,17,0,0,"Sarukuygi landslide, Japan "
88,30,14,11.97,26,0,0,"Case 1: open pit iron ore mine, Goa, India "
120,53,25,120,45,0,1,"Mercoirol open pit coal mine, France "
200,50,26,150.05,45,0,1,"Marquesade open pit iron ore mine, Spain "
6,30,18.5,25,0,0,0,Unknown 
6,30,18.5,12,0,0,0,Unknown 
10,30,22.4,10,35,0,1,"Case 1: Highvale coal mine, Alberta, Canada "
20,30,21.1,10,30.34,0,1,"Case 2: Highvale coal mine, Alberta, Canada "
50,45,22,20,36,0,0,"Case 1: open pit coal mine, Newcastle coalfield, Australia "
50,45,22,0,36,0,0,"Case 2: open pit coal mine, Newcastle coalfield, Australia "
4,35,12,0,30,0,1,Unknown 
8,45,12,0,30,0,0,Unknown 
4,35,12,0,30,0,1,Unknown 
8,45,12,0,30,0,0,Unknown 
214,37,23.47,0,32,0,0,"Pima open pit mine, Arizona, USA "
115,40,16,70,20,0,0,"Case 1: Wyoming, USA "
10.67,22,20.41,24.9,13,0.35,1,"Seven Sisters Landslide, UK "
12.19,22,19.63,11.97,20,0.405,0,"Case 1: The Northolt slide, UK "
12.8,28,21.82,8.62,32,0.49,0,"Selset Landslide, Yorkshire, UK "
45.72,16,20.41,33.52,11,0.2,0,"Saskatchewan dam, Canada "
10.67,25,18.84,15.32,30,0.38,1,"Case 2: The Northolt slide, UK "
7.62,20,18.84,0,20,0.45,0,"Sudbury slide, UK "
61,20,21.43,0,20,0.5,0,"Folkstone Warren slide, Kent, UK "
21,35,19.06,11.71,28,0.11,0,"River bank side, Alberta, Canada "
30.5,20,18.84,14.36,25,0.45,0,Unknown 
76.81,31,21.51,6.94,30,0.38,0,Unknown 
88,30,14,11.97,26,0.45,0,"Case 2: open pit iron ore mine, Goa, India "
20,45,18,24,30.15,0.12,0,"Athens slope, Greece "
100,20,23,0,20,0.3,0,"Open pit coal mine Allori coalfield, Italy "
15,45,22.4,100,45,0.25,1,"Case 1: open pit coal mine, Alberta, Canada "
10,45,22.4,10,35,0.4,0,"Case 2: open pit coal mine, Alberta, Canada "
50,45,20,20,36,0.25,0,"Case 3: open pit coal mine, Newcastle coalfield, Australia "
50,45,20,20,36,0.5,0,"Case 4: open pit coal mine, Newcastle coalfield, Australia "
50,45,20,0,36,0.25,0,"Case 5: open pit coal mine, Newcastle coalfield, Australia "
50,45,20,0,36,0.5,0,"Case 6: open pit coal mine, Newcastle coalfield, Australia "
8,33,22,0,40,0.35,1,"Case 1: Harbour slope, Newcastle, Australia "
8,33,24,0,40,0.3,1,"Case 2: Harbour slope, Newcastle, Australia "
8,20,20,0,24.5,0.35,1,"Case 3: Harbour slope, Newcastle, Australia "
8,20,18,5,30,0.3,1,"Case 4: Harbour slope, Newcastle, Australia "
50,45,20,20,36,0.25,0,Unknown 
292,47.1,27,40,35,0,0,Unknown 
